"WaterYear","flow_mm","Ca_volwt","Mg_volwt","K_volwt","Na_volwt","Al_Ferron_volwt","TMAl_volwt","OMAl_volwt","Al_ICP_volwt","NH4_volwt","SO4_volwt","NO3_volwt","Cl_volwt","PO4_volwt","DOC_volwt","TDN_volwt","DON_volwt","DIC_volwt","SiO2_volwt","Mn_volwt","Fe_volwt","F_volwt","H_volwt","pH_volwt","SpecCond_volwt","ANC_volwt"
1963,697.815,1.53,0.34,0.25,0.77,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1964,495.452,0.97,0.36,0.2,0.84,0.28,-888.888,-888.888,-888.88,0.057,5.97,0.957,0.58,-888.888,-888.88,-888.88,-888.88,-888.88,4.22,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1965,756.518,1.37,0.36,0.18,0.83,0.319,-888.888,-888.888,-888.88,0.125,6.23,0.861,0.57,-888.888,-888.88,-888.88,-888.88,-888.88,4.12,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1966,846.328,1.27,0.34,0.2,0.79,0.337,-888.888,-888.888,-888.88,0.045,6.08,0.719,0.54,-888.888,-888.88,-888.88,-888.88,-888.88,4.28,-888.88,-888.88,-888.88,0.0134,4.87,23.45,-888.888
1967,949.994,1.29,0.36,0.26,0.92,0.327,-888.888,-888.888,-888.88,0.027,6.13,1.304,0.56,-888.888,-888.88,-888.88,-888.88,-888.88,3.83,-888.88,-888.88,-888.88,0.012,4.92,24.02,-888.888
1968,897.189,1.3,0.34,0.26,0.77,0.356,-888.888,-888.888,-888.88,0.019,5.74,1.294,0.57,-888.888,-888.88,-888.88,-888.88,-888.88,3.25,-888.88,-888.88,-888.88,0.0159,4.8,23.61,-888.888
1969,869.98,1.62,0.37,0.26,0.81,0.384,-888.888,-888.888,-888.88,0.046,5.41,3.239,0.47,-888.888,-888.88,-888.88,-888.88,-888.88,4.06,-888.88,-888.88,-888.88,0.0167,4.78,27.63,-888.888
1970,828.369,1.46,0.34,0.21,0.76,-888.888,-888.888,-888.888,-888.88,0.03,6.35,2.333,0.56,-888.888,-888.88,-888.88,-888.88,-888.88,4.19,-888.88,-888.88,-888.88,0.0166,4.78,27.34,-888.888
1971,742.507,1.44,0.34,0.23,0.75,-888.888,-888.888,-888.888,-888.88,0.013,6.19,2.269,0.47,-888.888,-888.88,-888.88,-888.88,-888.88,4.25,-888.88,-888.88,-888.88,0.0162,4.79,27.58,-888.888
1972,1029.492,1.36,0.31,0.23,0.77,-888.888,-888.888,-888.888,-888.88,0.022,6.06,1.809,0.64,0.001,-888.88,-888.88,-888.88,-888.88,4.15,-888.88,-888.88,-888.88,0.0173,4.76,27.12,-888.888
1973,1400.765,1.36,0.3,0.22,0.65,-888.888,-888.888,-888.888,-888.88,0.031,5.82,2.335,0.42,0.001,-888.88,-888.88,-888.88,-888.88,3.61,-888.88,-888.88,-888.88,0.016,4.8,26.93,-888.888
1974,808.076,1.39,0.34,0.26,0.73,-888.888,-888.888,-888.888,-888.88,0.02,6.01,2.455,0.52,0.001,-888.88,-888.88,-888.88,-888.88,3.99,-888.88,-888.88,-888.88,0.0119,4.93,25.93,-888.888
1975,1187.991,1.28,0.3,0.19,0.67,-888.888,-888.888,-888.888,-888.88,0.016,5.95,2.217,0.39,0,-888.88,-888.88,-888.88,-888.88,3.98,-888.88,-888.88,-888.88,0.0123,4.91,24.29,-888.888
1976,850.022,1.19,0.29,0.23,0.7,0.341,-888.888,-888.888,-888.88,0.01,5.46,2.361,0.38,0.002,-888.88,-888.88,-888.88,-888.88,4.16,-888.88,-888.88,-888.88,0.0118,4.93,25.28,-888.888
1977,982.263,1.11,0.26,0.19,0.64,0.391,-888.888,-888.888,-888.88,0.012,5.57,0.761,0.36,0.004,-888.88,-888.88,-888.88,-888.88,3.92,-888.88,-888.88,-888.88,0.0122,4.91,22.11,-888.888
